id,type,breed,age,gender,size,description,name,status,published_at
65523835,Cat,Domestic Short Hair,Baby,Female,Small,,ANGEL,adoptable,2023-07-20T16:52:39+0000
65523836,Cat,Domestic Short Hair,Baby,Female,Small,,MAXI,adoptable,2023-07-20T16:52:39+0000
65523834,Cat,Domestic Short Hair,Senior,Female,Extra Large,,DAISY,adoptable,2023-07-20T16:52:39+0000
65523822,Cat,Domestic Short Hair,Baby,Female,Small,,INDIGO,adoptable,2023-07-20T16:52:39+0000
65523832,Cat,Domestic Short Hair,Senior,Female,Small,,REBA,adoptable,2023-07-20T16:52:39+0000
65523831,Cat,Domestic Long Hair,Baby,Female,Small,,FLUFF,adoptable,2023-07-20T16:52:39+0000
65523821,Cat,Domestic Short Hair,Baby,Female,Small,,FLEUR,adoptable,2023-07-20T16:52:39+0000
65523827,Cat,Domestic Short Hair,Baby,Female,Medium,,ARABELLA,adoptable,2023-07-20T16:52:39+0000
65523826,Cat,Domestic Short Hair,Adult,Male,Medium,,NACHO,adoptable,2023-07-20T16:52:39+0000
65523837,Cat,Domestic Short Hair,Baby,Female,Small,,PUFF,adoptable,2023-07-20T16:52:39+0000
65523825,Cat,Domestic Short Hair,Young,Female,Medium,,ANNA,adoptable,2023-07-20T16:52:39+0000
65523823,Cat,Domestic Short Hair,Young,Female,Medium,,BLACKIE,adoptable,2023-07-20T16:52:39+0000
65523824,Cat,Domestic Medium Hair,Young,Female,Medium,,CHERRY,adoptable,2023-07-20T16:52:39+0000
65523833,Cat,Domestic Short Hair,Baby,Male,Small,,GRAYSPICE,adoptable,2023-07-20T16:52:39+0000
65523842,Cat,Domestic Short Hair,Baby,Female,Small,,JULIET,adoptable,2023-07-20T16:52:39+0000
65523804,Cat,Domestic Medium Hair,Adult,Male,Small,,TANK,adoptable,2023-07-20T16:52:38+0000
65523806,Cat,Domestic Short Hair,Adult,Female,Small,,MOMMA,adoptable,2023-07-20T16:52:38+0000
65523818,Cat,Domestic Short Hair,Baby,Male,Small,,RON,adoptable,2023-07-20T16:52:38+0000
65523820,Cat,Domestic Short Hair,Baby,Male,Small,,BEV,adoptable,2023-07-20T16:52:38+0000
65523817,Cat,Domestic Short Hair,Baby,Male,Small,,MCNUGGET,adoptable,2023-07-20T16:52:38+0000
65523816,Cat,Domestic Short Hair,Baby,Male,Small,,GEORGE,adoptable,2023-07-20T16:52:38+0000
65523815,Cat,Domestic Short Hair,Baby,Female,Small,,WENDYS,adoptable,2023-07-20T16:52:38+0000
65523809,Cat,Domestic Short Hair,Baby,Male,Small,,FRED,adoptable,2023-07-20T16:52:38+0000
65523813,Cat,Domestic Short Hair,Baby,Male,Small,,RONALD,adoptable,2023-07-20T16:52:38+0000
65523812,Cat,Domestic Short Hair,Baby,Male,Small,,SONIC,adoptable,2023-07-20T16:52:38+0000
65523803,Cat,Domestic Short Hair,Adult,Male,Medium,"Hi, there! My name is Everest and I need to be king of the castle! I like: Silently judging people...",EVEREST,adoptable,2023-07-20T16:52:36+0000
65523797,Cat,Domestic Short Hair,Baby,Female,Small,,EFFIE,adoptable,2023-07-20T16:52:33+0000
65523799,Cat,Domestic Short Hair,Baby,Female,Small,,LUNA,adoptable,2023-07-20T16:52:33+0000
65523781,Cat,Domestic Long Hair,Baby,Female,Small,Sophie is a beautiful girl with the softest floofy fur and the longest ear tufts! She is shy (she has...,SOPHIE,adoptable,2023-07-20T16:52:25+0000
65523782,Cat,Domestic Short Hair,Young,Male,Large,,STORM,adoptable,2023-07-20T16:52:25+0000
65523767,Cat,Domestic Short Hair,Young,Male,Medium,,GROVER,adoptable,2023-07-20T16:52:05+0000
65523756,Cat,Domestic Short Hair,Baby,Male,Small,,FIZZY,adoptable,2023-07-20T16:51:59+0000
65523762,Cat,Domestic Short Hair,Baby,Male,Small,,DIPPER,adoptable,2023-07-20T16:51:59+0000
65523761,Cat,Domestic Short Hair,Baby,Female,Small,,CLEOPATRA,adoptable,2023-07-20T16:51:59+0000
65523755,Cat,Domestic Short Hair,Baby,Female,Small,,MABEL,adoptable,2023-07-20T16:51:59+0000
65523754,Cat,Domestic Short Hair,Baby,Male,Small,,SWIG,adoptable,2023-07-20T16:51:59+0000
65523759,Cat,Domestic Short Hair,Baby,Female,Small,,POP,adoptable,2023-07-20T16:51:59+0000
65523758,Cat,Domestic Short Hair,Young,Female,Small,,ISABELLE,adoptable,2023-07-20T16:51:59+0000
65523755,Cat,Domestic Short Hair,Baby,Female,Small,,MABEL,adoptable,2023-07-20T16:51:59+0000
65523754,Cat,Domestic Short Hair,Baby,Male,Small,,SWIG,adoptable,2023-07-20T16:51:59+0000
65523753,Cat,Domestic Short Hair,Senior,Female,Small,"A1278665 Flora is a 11-year-old, 7-pound, spayed female, Domestic Shorthaired Cat. She entered the shelter as a stray. Flora received...",FLORA,adoptable,2023-07-20T16:51:59+0000
65523741,Cat,Bengal,Baby,Female,Small,More adorable orphans this week and wow are they amazing and also coming this week from Kentucky!! Fun uber snuggly...,Millie Mae is just the sweetest and most tiny of her whole litter of cuties!,adoptable,2023-07-20T16:51:49+0000
65523740,Cat,Domestic Medium Hair,Baby,Male,Small,Hi there! My name is Cricket! I&amp;#39;m an adorable little 8 week old kitten! I&amp;#39;m a little shy at first...,CRICKET,adoptable,2023-07-20T16:51:40+0000
65523739,Cat,Domestic Short Hair,Baby,Male,Small,Howdy! My name is Columbo! I&amp;#39;m an adorable little 11 week old kitten! I came to MCAC as a stray....,COLUMBO,adoptable,2023-07-20T16:51:40+0000
65523734,Cat,Domestic Short Hair,Baby,Male,Small,,SAM,adoptable,2023-07-20T16:51:36+0000
65523735,Cat,Domestic Short Hair,Adult,Female,Small,,SUGER,adoptable,2023-07-20T16:51:36+0000
65523723,Cat,Domestic Short Hair,Baby,Male,Medium,"Ziggy is a playful three month old male tabby kitten. Adoption fee $84.00(cash only) Includes: Neuter, FIV/FELV test, FVRCPP vaccination,...",Ziggy ,adoptable,2023-07-20T16:51:34+0000
65523724,Cat,Domestic Medium Hair,Young,Female,Medium,,OPHELIA,adoptable,2023-07-20T16:51:33+0000
65523709,Cat,Domestic Short Hair,Adult,Male,Small,,A526115,adoptable,2023-07-20T16:51:31+0000
65523707,Cat,Domestic Short Hair,Baby,Female,Small,,A526095,adoptable,2023-07-20T16:51:31+0000
65523691,Cat,Domestic Short Hair,Baby,Female,Small,,LAPIS,adoptable,2023-07-20T16:51:28+0000
65523688,Cat,Domestic Short Hair,Baby,Male,Small,,ALLAN,adoptable,2023-07-20T16:51:28+0000
65523692,Cat,Domestic Short Hair,Baby,Male,Small,,EDGAR,adoptable,2023-07-20T16:51:28+0000
65523694,Cat,Domestic Short Hair,Baby,Female,Small,,POE,adoptable,2023-07-20T16:51:28+0000
65523689,Cat,Domestic Short Hair,Baby,Male,Small,,IOLITE,adoptable,2023-07-20T16:51:28+0000
65523693,Cat,Domestic Short Hair,Baby,Female,Small,,CITRINE,adoptable,2023-07-20T16:51:28+0000
65523686,Cat,Domestic Short Hair,Baby,Female,Small,,PEPPER,adoptable,2023-07-20T16:51:27+0000
65523685,Cat,Domestic Short Hair,Baby,Male,Small,Tiger is a 14 week old male Tabby. He was raised in a foster home and is now rady for...,TIGER,adoptable,2023-07-20T16:51:26+0000
65523669,Cat,Domestic Short Hair,Senior,Female,Medium,,PAISLEY,adoptable,2023-07-20T16:51:16+0000
65523664,Cat,Domestic Short Hair,Baby,Male,Small,,PANCHITO,adoptable,2023-07-20T16:51:13+0000
65523666,Cat,Domestic Short Hair,Baby,Female,Small,,ROSITA,adoptable,2023-07-20T16:51:13+0000
65523659,Cat,Domestic Short Hair,Baby,Male,Small,,CARLITOS,adoptable,2023-07-20T16:51:13+0000
65523658,Cat,Domestic Short Hair,Baby,Female,Small,Friendly kitten who purrs with appreciation when you give her attention. She may turn out to be a lap kitty....,RIHANNA,adoptable,2023-07-20T16:51:11+0000
65523649,Cat,Domestic Short Hair,Baby,Male,Medium,,ELLIS,adoptable,2023-07-20T16:51:09+0000
